State,Type,early_career_pay,mid_career_pay
California,Private,68200,125725
New York,Public,67050,124250
Massachusetts,Private,64729,118407
New York,Private,64360,119567
California,Public,62578,117944
Pennsylvania,Private,62281,115125
Massachusetts,Public,61367,109933
Rhode Island,Private,60150,109250
Utah,Private,59200,108000
New Jersey,Private,57344,89700
Texas,Private,57312,103962
Pennsylvania,Public,57050,101050
Texas,Public,56550,104133
Illinois,Private,56430,103150
Connecticut,Private,56078,103178
Washington,Public,54838,98038
Washington,Private,54789,100589
Colorado,Private,54767,99267
Illinois,Public,54600,99120
New Hampshire,Private,54520,97060
Virginia,Public,54364,97386
Michigan,Public,54117,97183
Maryland,Private,53943,96714
New Jersey,Public,53864,98127
New Mexico,Private,53864,98127
Arizona,Public,53400,97300
Ohio,Private,53271,99286
Michigan,Private,53189,97433
Wisconsin,Public,53100,96850
Maryland,Public,52812,94625
Connecticut,Public,52475,92575
Delaware,Public,52450,93650
Iowa,Public,52433,95333
Wyoming,Public,52400,98800
Virginia,Private,52390,95250
Colorado,Public,52020,93820
New Mexico,Public,52000,97900
Minnesota,Private,51942,94292
Ohio,Public,51938,94288
Vermont,Private,51883,93250
Nevada,Public,51550,92700
Minnesota,Public,51460,92600
Utah,Public,51200,93633
Montana,Public,51200,93000
Maine,Private,51150,91700
Florida,Private,51117,91933
Indiana,Private,51067,93287
Georgia,Public,51000,92256
Indiana,Public,50967,91300
Rhode Island,Public,50850,91600
Wisconsin,Private,50750,91350
Wyoming,Private,50750,90350
Oregon,Public,50643,90329
Oregon,Private,50600,92080
Nevada,Private,50438,92600
Missouri,Public,50438,91888
North Carolina,Public,50438,89950
Alaska,Private,50300,90000
New Hampshire,Public,50067,88700
Georgia,Private,50000,88522
Florida,Public,49900,90411
Arizona,Private,49800,89333
Hawaii,Private,49767,90467
Missouri,Private,49410,87710
Maine,Public,49300,88120
Idaho,Public,49100,87233
North Carolina,Private,48950,87986
Oklahoma,Private,48200,87233
Idaho,Private,48200,85400
Iowa,Private,48186,87543
Louisiana,Private,47983,88350
Nebraska,Public,47900,88750
Hawaii,Public,47800,84400
North Dakota,Public,47760,83700
Tennessee,Private,47693,85614
Louisiana,Public,47670,87610
South Carolina,Public,47464,85373
Tennessee,Public,47414,84986
Alabama,Public,47333,86356
Alaska,Public,47333,86356
Oklahoma,Public,47300,86025
Montana,Private,47100,87150
North Dakota,Private,47000,82250
Nebraska,Private,46875,83075
Vermont,Public,46650,85125
Kansas,Public,46100,82650
Kentucky,Public,46012,82888
South Dakota,Public,45820,82880
West Virginia,Public,45544,82333
Delaware,Private,45400,77300
Alabama,Private,45375,82600
Kansas,Private,45362,81223
West Virginia,Private,44483,81433
Arkansas,Public,44325,79825
Mississippi,Public,44317,80050
Arkansas,Private,44114,79800
Kentucky,Private,43393,78486
South Carolina,Private,43133,78200
South Dakota,Private,43100,76950
Mississippi,Private,41480,74260
